CODIGO,NOMBRE,UNIV TIPO,ESTADO LICENCIAMIENTO,PERIODO LICENC,DEPARTAMENTO,PROVINCIA,DISTRITO,LATITUD,LONGITUD
115,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
116,UNIVERSIDAD SAN ANDRÉS S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,INDEPENDENCIA,-12.046374,-77.0427934
117,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,BREÑA,-12.046374,-77.0427934
118,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,SURQUILLO,-12.046374,-77.0427934
119,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435933,-78.4751945
120,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,PUBLICO,LICENCIADA,6,CAJAMARCA,CHOTA,CHOTA,-7.1617465,-78.5127855
121,UNIVERSIDAD NACIONAL DE BARRANCA,PUBLICO,LICENCIADA,6,LIMA,BARRANCA,BARRANCA,-12.046374,-77.0427934
122,UNIVERSIDAD NACIONAL DE CAÑETE,PUBLICO,LICENCIADA,6,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,-12.046374,-77.0427934
126,UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,PUBLICO,LICENCIADA,6,LORETO,ALTO AMAZONAS,YURIMAGUAS,-4.2324729,-74.2179326
128,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA,PUBLICO,LICENCIADA,6,AYACUCHO,HUANTA,HUANTA,-13.1638737,-74.2235641
132,UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,BARRANCO,-12.046374,-77.0427934
133,UNIVERSIDAD LA SALLE,PRIVADA ASOCIATIVA,LICENCIADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
134,UNIVERSIDAD LATINOAMERICANA CIMA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,TACNA,TACNA,TACNA,-18.0065679,-70.2462741
135,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
136,UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.046374,-77.0427934
137A,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,-5.115146,-78.1108279
140,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.046374,-77.0427934
141,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,CALLAO,CALLAO,CALLAO,-12.0508491,-77.1259843
142,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,LA CONVENCIÓN,SANTA ANA,-13.53195,-71.9674626
144,UNIVERSIDAD GLOBAL DEL CUSCO SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,CUSCO,CUSCO,-13.53195,-71.9674626
145,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.3412179
146,UNIVERSIDAD PRIVADA SISE S.A.C.,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,ATE,-12.046374,-77.0427934
147,UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,LA MOLINA,-12.046374,-77.0427934
148,UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.0427934
149,UNIVERSIDAD CATÓLICA SAN JOSÉ,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.0427934
